Database,Article source,Authors,Title,Year,DOI,Short description,Keywords,APA
Scopus,Sensors,Park J.-H.; Mahmoud M.; Kang H.-S.,Conv3D-Based Video Violence Detection Network Using Optical Flow and RGB Data,2024,doi.org/10.3390/s24020317,"Detecting violent behavior in videos to ensure public safety and security poses a significant challenge. Precisely identifying and categorizing instances of violence in real-life closed-circuit television, which vary across specifications and locations, requires comprehensive understanding and processing of the sequential information embedded in these videos. This study aims to introduce a model that adeptly grasps the spatiotemporal context of videos within diverse settings and specifications of violent scenarios. We propose a method to accurately capture spatiotemporal features linked to violent behaviors using optical flow and RGB data. The approach leverages a Conv3D-based ResNet-3D model as the foundational network, capable of handling high-dimensional video data. The efficiency and accuracy of violence detection are enhanced by integrating an attention mechanism, which assigns greater weight to the most crucial frames within the RGB and optical-flow sequences during instances of violence. Our model was evaluated on the UBI-Fight, Hockey, Crowd, and Movie-Fights datasets; the proposed method outperformed existing state-of-the-art techniques, achieving area under the curve scores of 95.4, 98.1, 94.5, and 100.0 on the respective datasets. Moreover, this research not only has the potential to be applied in real-time surveillance systems but also promises to contribute to a broader spectrum of research in video analysis and understanding.",CHEM; COMP; PHYS; BIOC; ENGI,
Scopus,Computers,Jebur S.A.; Hussein K.A.; Hoomod H.K.; Alzubaidi L.,Novel Deep Feature Fusion Framework for Multi-Scenario Violence Detection,2023,doi.org/10.3390/computers12090175,"Detecting violence in various scenarios is a difficult task that requires a high degree of generalisation. This includes fights in different environments such as schools, streets, and football stadiums. However, most current research on violence detection focuses on a single scenario, limiting its ability to generalise across multiple scenarios. To tackle this issue, this paper offers a new multi-scenario violence detection framework that operates in two environments: fighting in various locations and rugby stadiums. This framework has three main steps. Firstly, it uses transfer learning by employing three pre-trained models from the ImageNet dataset: Xception, Inception, and InceptionResNet. This approach enhances generalisation and prevents overfitting, as these models have already learned valuable features from a large and diverse dataset. Secondly, the framework combines features extracted from the three models through feature fusion, which improves feature representation and enhances performance. Lastly, the concatenation step combines the features of the first violence scenario with the second scenario to train a machine learning classifier, enabling the classifier to generalise across both scenarios. This concatenation framework is highly flexible, as it can incorporate multiple violence scenarios without requiring training from scratch with additional scenarios. The Fusion model, which incorporates feature fusion from multiple models, obtained an accuracy of 97.66% on the RLVS dataset and 92.89% on the Hockey dataset. The Concatenation model accomplished an accuracy of 97.64% on the RLVS and 92.41% on the Hockey datasets with just a single classifier. This is the first framework that allows for the classification of multiple violent scenarios within a single classifier. Furthermore, this framework is not limited to violence detection and can be adapted to different tasks.",COMP,
Scopus,Computer Vision and Image Understanding,Garcia-Cobo G.; SanMiguel J.C.,Human skeletons and change detection for efficient violence detection in surveillance videos,2023,doi.org/10.1016/j.cviu.2023.103739,"In our constantly monitored world, surveillance cameras play a crucial role in curbing crime and violence in public spaces by serving as a deterrent. To enhance their effectiveness, there is a growing need for automated tools that can detect crimes in real time. In this paper, we propose a novel deep learning architecture that accurately and efficiently detects violent crimes in surveillance videos. We rely on what we believe are the most essential pieces of information to detect violence, namely: human bodies and their interaction. To this end, we employ human pose extractors and change detectors as the input of our proposal. Subsequently, we combine them using a novel method, which relies on additions instead of multiplications to guarantee the transmission of information even when one of the inputs provides a zero-valued signal; outperforming other combination alternatives of the literature. Finally, to account for both spatial and temporal information, we use a convolutional alternative of the standard LSTM, the ConvLSTM. The experiments performed on several benchmark datasets demonstrate the efficacy and efficiency of our proposal, achieving state-of-the-art results with much fewer trainable parameters. We release the code to replicate the proposed architecture at https://github.com/atmguille/Violence-Detection-With-Human-Skeletons.",COMP,
Scopus,Iraqi Journal of Computers Communications Control and Systems Engineering,Jebur S.A.; Hussein K.A.; Hoomod H.K.,Abnormal Behavior Detection in Video Surveillance Using Inception-v3 Transfer Learning Approaches,2023,doi.org/10.33103/uot.ijccce.23.2.16,"The use of video surveillance systems has increased due to security concerns and their relatively low cost. Researchers are working to create intelligent Closed Circuit Television (CCTV) cameras that can automatically analyze behavior in real-time to detect anomalous behaviors and prevent dangerous accidents. Deep Learning (DL) approaches, particularly Convolutional Neural Networks (CNNs), have shown outstanding results in video analysis and anomaly detection. This research paper focused on using Inception-v3 transfer learning approaches to improve the accuracy and efficiency of abnormal behavior detection in video surveillance. The Inception-v3 network is used to classify keyframes of a video as normal or abnormal behaviors by utilizing both pre-training and fine-tuning transfer learning approaches to extract features from the input data and develop a new classifier. The UCF-Crime dataset is used to train and evaluate the proposed models. The performance of both models was evaluated using accuracy, recall, precision, and F1 score. The fine-tuned model achieved 88.0%, 89.24%, 85.83%, and 87.50% for these measures, respectively. In contrast, the pre-trained model obtained 86.2%, 86.43%, 84.62%, and 85.52%, respectively. These results demonstrate that transfer learning using Inception-v3 architecture can effectively classify normal and abnormal behaviors in videos, and fine-tuning the weights of the layers can further improve the model's performance.",ENGI,
Scopus,Information Switzerland,Perseghin E.; Foresti G.L.,A Shallow System Prototype for Violent Action Detection in Italian Public Schools,2023,doi.org/10.3390/info14040240,"This paper presents a novel low-cost integrated system prototype, called School Violence Detection system (SVD), based on a 2D Convolutional Neural Network (CNN). It is used for classifying and identifying automatically violent actions in educational environments based on shallow cost hardware. Moreover, the paper fills the gap of real datasets in educational environments by proposing a new one, called Daily School Break dataset (DSB), containing original videos recorded in an Italian high school yard. The proposed CNN has been pre-trained with an ImageNet model and a transfer learning approach. To extend its capabilities, the DSB was enriched with online images representing students in school environments. Experimental results analyze the classification performances of the SVD and investigate how it performs through the proposed DSB dataset. The SVD, which achieves a recognition accuracy of 95%, is considered computably efficient and low-cost. It could be adapted to other scenarios such as school arenas, gyms, playgrounds, etc.",COMP,
Scopus,Applied Intelligence,Le V.-T.; Kim Y.-G.,Attention-based residual autoencoder for video anomaly detection,2023,doi.org/10.1007/s10489-022-03613-1,"Automatic anomaly detection is a crucial task in video surveillance system intensively used for public safety and others. The present system adopts a spatial branch and a temporal branch in a unified network that exploits both spatial and temporal information effectively. The network has a residual autoencoder architecture, consisting of a deep convolutional neural network-based encoder and a multi-stage channel attention-based decoder, trained in an unsupervised manner. The temporal shift method is used for exploiting the temporal feature, whereas the contextual dependency is extracted by channel attention modules. System performance is evaluated using three standard benchmark datasets. Result suggests that our network outperforms the state-of-the-art methods, achieving 97.4% for UCSD Ped2, 86.7% for CUHK Avenue, and 73.6% for ShanghaiTech dataset in term of Area Under Curve, respectively.",COMP,
Scopus,Symmetry,Zhang Q.; Wei H.; Chen J.; Du X.; Yu J.,Video Anomaly Detection Based on Attention Mechanism,2023,doi.org/10.3390/sym15020528,"Camera surveillance is widely used in residential areas, highways, schools and other public places. The monitoring and scanning of sudden abnormal events depend on humans. Human anomaly monitoring not only consumes a lot of manpower and time but also has a large error in anomaly detection. Video anomaly detection based on AE (Auto-Encoder) is currently the dominant research approach. The model has a highly symmetrical network structure in the encoding and decoding stages. The model is trained by learning standard video sequences, and the anomalous events are later determined in terms of reconstruction error and prediction error. However, in the case of limited computing power, the complex model will greatly reduce the detection efficiency, and unnecessary background information will seriously affect the detection accuracy of the model. This paper uses the AE loaded with dynamic prototype units as the basic model. We introduce an attention mechanism to improve the feature representation ability of the model. Deep separable convolution operation can effectively reduce the number of model parameters and complexity. Finally, we conducted experiments on three publicly available datasets of real scenarios (UCSD Ped1, UCSD Ped2 and CUHK Avenue). The experimental results show that compared with the baseline model, the accuracy of our model improved by 1.9%, 1.4% and 6.6%, respectively, across the three datasets. Compared with many popular models, the validity of our model in anomaly detection is verified.",COMP; CHEM; MATH; PHYS,
Scopus,International Journal of Advanced Computer Science and Applications,Kozhamkulova Z.; Kirgizbayeva B.; Sembina G.; Smailova U.; Suleimenova M.; Keneskanova A.; Baizakova Z.,MoveNET Enabled Neural Network for Fast Detection of Physical Bullying in Educational Institutions,2023,doi.org/10.14569/IJACSA.2023.0140578,"In this article, we provide a MoveNET-based technique that we think may be used to detect violent actions. This strategy does not need high-computational technology, and it is able to put into action in a very short amount of time. Our method is comprised of two stages: first, the capture of features from photo sequences in order to evaluate body position; next, the application of an artificial neural network to activities classification in order to determine whether or not the picture frames include violent or hostile circumstances. A video aggression database consisting of 400 minutes of one individual's actions and 20 hours of videodata encompassing physical abuse, as well as 13 categories for distinguishing between the behaviors of the attacker and the victim, was created. In the end, the suggested approach was refined and validated by employing the collected dataset during the process. According to the findings, an accuracy rate of 98% was attained while attempting to detect aggressive behavior in video sequences. In addition, the findings indicate that the suggested technique is able to identify aggressive behavior and violent acts in a very short amount of time and is suitable for use in apps that take place in the real world.",COMP,
Scopus,International Journal of Intelligent Engineering and Systems,Khalaf S.Z.; Shujaa M.I.; Alwahhab A.B.A.,Utilizing Machine Learning and Computer Vision for the Detection of Abusive Behavior in IoT Systems,2023,doi.org/10.22266/ijies2023.0831.36,"Law enforcement and civilian protection are increasingly dependent on surveillance technologies. To prevent social, economic, and environmental harm, video surveillance situations like those in train stations, schools, and hospitals must automatically detect aggressive and suspicious behavior. Intelligent video surveillance systems now enable human interaction monitoring. Despite its security benefits, crowds and the camera's vision make it difficult to distinguish regular from abnormal activity. Therefore, there is a great deal of investigation into the many methods of identifying violent behavior. The detection approach presented in this research can be broken down into three distinct subfields. The classification methods employed led to the formation of these classes. Classifications include Gradient Descent (SGD), Adaptive boosting (ADA), Naive Base (NB), and Logistic Regression (LR) for detecting violent acts with machine learning. Methods for feature extraction and violence detection are derived using Principal Component Analysis (PCA). Dataset learning-based models for violence detection can also be evaluated using the AIRTLab dataset, a model developed to test the robustness of algorithms against false positives. In order to determine if the proposed model's resistance to false positives, accuracy (ACC) metrics were computed on the proposed model and used to set a benchmark for the AIRTLab dataset. According to the research literature, the proposed models are accurate of 98.31% with the logistic regression classifier having superior generalization skills.",COMP; ENGI,
Scopus,International Journal of Advanced Computer Science and Applications,Xu X.; Liao Z.; Xu Z.,Violent Physical Behavior Detection using 3D Spatio-Temporal Convolutional Neural Networks,2023,doi.org/10.14569/IJACSA.2023.0140891,"The use of surveillance cameras has made it possible to analyze a huge amount of data for automated surveillance. The use of security systems in schools, hotels, hospitals, and other security areas is required to identify the violent activities that can cause social, economic, and environmental damage. Detecting the mobile objects on each frame is a fundamental phase in the analysis of the video trail and the violence recognition. Therefore, a three-step approach is presented in this article. In our method, the separation of the frames containing the motion information and the detection of the violent behavior are applied at two levels of the network. First, the people in the video frames are identified by using a convolutional neural network. In the second step, a sequence of 16 frames containing the identified people is injected into the 3D CNN. Furthermore, we optimize the 3D CNN by using the visual inference and then a neural network optimization tool that transforms the pre-trained model into an average representation. Finally, this method uses the toolbox of OPENVINO to perform the optimization operations to increase the performance. To evaluate the accuracy of our algorithm, two datasets have been analyzed, which are: Violence in Movies and Hockey Fight. The results show that the final accuracy of this analysis is equal to 99.9% and 96% from each dataset.",COMP,
Scopus,IEEE Access,Aldehim G.; Asiri M.M.; Aljebreen M.; Mohamed A.; Assiri M.; Ibrahim S.S.,Tuna Swarm Algorithm With Deep Learning Enabled Violence Detection in Smart Video Surveillance Systems,2023,doi.org/10.1109/ACCESS.2023.3310885,"In smart video surveillance systems, violence detection becomes challenging to ensure public safety and security. With the proliferation of surveillance cameras in public areas, there is an increasing need for automated algorithms that can accurately and efficiently detect violent behavior in real time. This article presents a Tuna Swarm Optimization with Deep Learning Enabled Violence Detection (TSODL-VD) technique to classify violent actions in surveillance videos. The TSODL-VD technique enables the recognition of violence and can be a measure to avoid chaotic situations. In the presented TSODL-VD technique, the residual-DenseNet model is applied for feature vector generation from the input video frames and then passed into the stacked autoencoder (SAE) classifier. The SAE model is enforced to recognize the events into violence and non-violence events. To improve the violence detection effectiveness of the TSODL-VD procedure, the TSO protocol is utilized as a hyperparameter optimizer for the residual-DenseNet model. The performance validation of the TSODL-VD procedure has experimented on a benchmark violence dataset. The experimental results demonstrate that the TSODL-VD technique accomplishes precise and rapid detection outcomes over the recent state-of-the-art approaches.",COMP; MATE; ENGI,
Scopus,International Journal of Interactive Multimedia and Artificial Intelligence,Gandapur M.Q.; Verdu E.,ConvGRU-CNN: Spatiotemporal Deep Learning for Real-World Anomaly Detection in Video Surveillance System,2023,doi.org/10.9781/ijimai.2023.05.006,"Video surveillance for real-world anomaly detection and prevention using deep learning is an important and difficult research area. It is imperative to detect and prevent anomalies to develop a nonviolent society. Real-world video surveillance cameras automate the detection of anomaly activities and enable the law enforcement systems for taking steps toward public safety. However, a human-monitored surveillance system is vulnerable to oversight anomaly activity. In this paper, an automated deep learning model is proposed in order to detect and prevent anomaly activities. The real-world video surveillance system is designed by implementing the ResNet-50, a Convolutional Neural Network (CNN) model, to extract the high-level features from input streams whereas temporal features are extracted by the Convolutional GRU (ConvGRU) from the ResNet-50 extracted features in the time-series dataset. The proposed deep learning video surveillance model (named ConvGRU-CNN) can efficiently detect anomaly activities. The UCF-Crime dataset is used to evaluate the proposed deep learning model. We classified normal and abnormal activities, thereby showing the ability of ConvGRU-CNN to find a correct category for each abnormal activity. With the UCF-Crime dataset for the video surveillance-based anomaly detection, ConvGRU-CNN achieved 82.22% accuracy. In addition, the proposed model outperformed the related deep learning models.",COMP; MATH,
Scopus,Computer Systems Science and Engineering,Amin S.U.; Kim Y.; Sami I.; Park S.; Seo S.,An Efficient Attention-Based Strategy for Anomaly Detection in Surveillance Video,2023,doi.org/10.32604/csse.2023.034805,"In the present technological world, surveillance cameras generate an immense amount of video data from various sources, making its scrutiny tough for computer vision specialists. It is difficult to search for anomalous events manually in these massive video records since they happen infrequently and with a low probability in real-world monitoring systems. Therefore, intelligent surveillance is a requirement of the modern day, as it enables the automatic identification of normal and aberrant behavior using artificial intelligence and computer vision technologies. In this article, we introduce an efficient Attention-based deep-learning approach for anomaly detection in surveillance video (ADSV). At the input of the ADSV, a shots boundary detection technique is used to segment prominent frames. Next, The Lightweight Convolution Neural Network (LWCNN) model receives the segmented frames to extract spatial and temporal information from the intermediate layer. Following that, spatial and temporal features are learned using Long Short-Term Memory (LSTM) cells and Attention Network from a series of frames for each anomalous activity in a sample. To detect motion and action, the LWCNN received chronologically sorted frames. Finally, the anomaly activity in the video is identified using the proposed trained ADSV model. Extensive experiments are conducted on complex and challenging benchmark datasets. In addition, the experimental results have been compared to state-of-the-art methodologies, and a significant improvement is attained, demonstrating the efficiency of our ADSV method.",ENGI; MATH; COMP,
Scopus,Scientific Reports,Wu M.-T.,Confusion matrix and minimum cross-entropy metrics based motion recognition system in the classroom,2022,doi.org/10.1038/s41598-022-07137-z,"This research proposes a motion recognition system for early detection of students' physical aggressive behavior in the classroom. The motion recognition system recognizes physical attacks so that teachers can resolve disputes early to reduce other greater injuries. In the beginning, cameras were used in this system to monitor students’ classroom activities and to obtain body images by removing background and saliency maps. Two angles from arm to shoulder and shoulder to the center of the body are then measured and the velocity between the two frames from the movement of the body is detected, and use these angle and velocity values as the criterion for judging whether it is a physical attack. In the end, the accuracy of the proposed algorithms is verified by using the confusion matrix based on machine learning and the minimum cross entropy based on neural networks. The simulation proves that the proposed algorithm can correctly detect the attack behavior of the collected videos.",MULT,
Scopus,Sensors,Mumtaz N.; Ejaz N.; Aladhadh S.; Habib S.; Lee M.Y.,Deep Multi-Scale Features Fusion for Effective Violence Detection and Control Charts Visualization,2022,doi.org/10.3390/s22239383,"The study of automated video surveillance systems study using computer vision techniques is a hot research topic and has been deployed in many real-world CCTV environments. The main focus of the current systems is higher accuracy, while the assistance of surveillance experts in effective data analysis and instant decision making using efficient computer vision algorithms need researchers’ attentions. In this research, to the best of our knowledge, we are the first to introduce a process control technique: control charts for surveillance video data analysis. The control charts concept is merged with a novel deep learning-based violence detection framework. Different from the existing methods, the proposed technique considers the importance of spatial information, as well as temporal representations of the input video data, to detect human violence. The spatial information are fused with the temporal dimension of the deep learning model using a multi-scale strategy to ensure that the temporal information are properly assisted by the spatial representations at multi-levels. The proposed frameworks’ results are kept in the history-maintaining module of the control charts to validate the level of risks involved in the live input surveillance video. The detailed experimental results over the existing datasets and the real-world video data demonstrate that the proposed approach is a prominent solution towards automated surveillance with the pre- and post-analyses of violent events.",CHEM; COMP; PHYS; BIOC; ENGI,
Scopus,Applied Sciences Switzerland,Ahmed S.; Bhatti M.T.; Khan M.G.; Lovstrom B.; Shahid M.,Development and Optimization of Deep Learning Models for Weapon Detection in Surveillance Videos,2022,doi.org/10.3390/app12125772,"Weapon detection in CCTV camera surveillance videos is a challenging task and its impor-tance is increasing because of the availability and easy access of weapons in the market. This becomes a big problem when weapons go into the wrong hands and are often misused. Advances in computer vision and object detection are enabling us to detect weapons in live videos without human inter-vention and, in turn, intelligent decisions can be made to protect people from dangerous situations. In this article, we have developed and presented an improved real-time weapon detection system that shows a higher mean average precision (mAP) score and better inference time performance compared to the previously proposed approaches in the literature. Using a custom weapons dataset, we implemented a state-of-the-art Scaled-YOLOv4 model that resulted in a 92.1 mAP score and frames per second (FPS) of 85.7 on a high-performance GPU (RTX 2080TI). Furthermore, to achieve the benefits of lower latency, higher throughput, and improved privacy, we optimized our model for implementation on a popular edge-computing device (Jetson Nano GPU) with the TensorRT network optimizer. We have also performed a comparative analysis of the previous weapon detector with our presented model using different CPU and GPU machines that fulfill the purpose of this work, making the selection of model and computing device easier for the users for deployment in a real-time scenario. The analysis shows that our presented models result in improved mAP scores on high-performance GPUs (such as RTX 2080TI), as well as on low-cost edge computing GPUs (such as Jetson Nano) for weapon detection in live CCTV camera surveillance videos.",MATE; PHYS; ENGI; CENG; COMP,
Scopus,Mathematics,Amin S.U.; Ullah M.; Sajjad M.; Cheikh F.A.; Hijji M.; Hijji A.; Muhammad K.,EADN: An Efficient Deep Learning Model for Anomaly Detection in Videos,2022,doi.org/10.3390/math10091555,"Surveillance systems regularly create massive video data in the modern technological era, making their analysis challenging for security specialists. Finding anomalous activities manually in these enormous video recordings is a tedious task, as they infrequently occur in the real world. We proposed a minimal complex deep learning-based model named EADN for anomaly detection that can operate in a surveillance system. At the model’s input, the video is segmented into salient shots using a shot boundary detection algorithm. Next, the selected sequence of frames is given to a Convolutional Neural Network (CNN) that consists of time-distributed 2D layers for extracting salient spatiotemporal features. The extracted features are enriched with valuable information that is very helpful in capturing abnormal events. Lastly, Long Short-Term Memory (LSTM) cells are employed to learn spatiotemporal features from a sequence of frames per sample of each abnormal event for anomaly detection. Comprehensive experiments are performed on benchmark datasets. Additionally, the quantitative results are compared with state-of-the-art methods, and a substantial improvement is achieved, showing our model’s effectiveness.",COMP; MATH; ENGI,
Scopus,Sensors,Vijeikis R.; Raudonis V.; Dervinis G.,Efficient Violence Detection in Surveillance,2022,doi.org/10.3390/s22062216,"Intelligent video surveillance systems are rapidly being introduced to public places. The adoption of computer vision and machine learning techniques enables various applications for collected video features; one of the major is safety monitoring. The efficacy of violent event detection is measured by the efficiency and accuracy of violent event detection. In this paper, we present a novel architecture for violence detection from video surveillance cameras. Our proposed model is a spatial feature extracting a U-Net-like network that uses MobileNet V2 as an encoder followed by LSTM for temporal feature extraction and classification. The proposed model is computationally light and still achieves good results—experiments showed that an average accuracy is 0.82 ± 2% and average precision is 0.81 ± 3% using a complex real-world security camera footage dataset based on RWF-2000.",CHEM; COMP; PHYS; BIOC; ENGI,
Scopus,Computational Intelligence and Neuroscience,Wang B.; Yang C.; Chen Y.,Detection Anomaly in Video Based on Deep Support Vector Data Description,2022,doi.org/10.1155/2022/5362093,"Video surveillance systems have been widely deployed in public places such as shopping malls, hospitals, banks, and streets to improve the safety of public life and assets. In most cases, how to detect video abnormal events in a timely and accurate manner is the main goal of social public safety risk prevention and control. Due to the ambiguity of anomaly definition, the scarcity of anomalous data, as well as the complex environmental background and human behavior, video anomaly detection is a major problem in the field of computer vision. Existing anomaly detection methods based on deep learning often use trained networks to extract features. These methods are based on existing network structures, instead of designing networks for the goal of anomaly detection. This paper proposed a method based on Deep Support Vector Data Description (DSVDD). By learning a deep neural network, the input normal sample space can be mapped to the smallest hypersphere. Through DSVDD, not only can the smallest size data hypersphere be found to establish SVDD but also useful data feature representations and normal models can be learned. In the test, the samples mapped inside the hypersphere are judged as normal, while the samples mapped outside the hypersphere are judged as abnormal. The proposed method achieves 86.84% and 73.2% frame-level AUC on the CUHK Avenue and ShanghaiTech Campus datasets, respectively. By comparison, the detection results achieved by the proposed method are better than those achieved by the existing state-of-the-art methods.",COMP; NEUR; MATH,
Scopus,Intelligent Automation and Soft Computing,Arif E.; Shahzad S.K.; Mustafa R.; Jaffar M.A.; Iqbal M.W.,Deep neural networks for gun detection in public surveillance,2022,doi.org/10.32604/iasc.2022.021061,"The conventional surveillance and control system of Closed-Circuit Television (CCTV) cameras require human resource supervision. Almost all the criminal activities take place using weapons mostly handheld gun, revolver, or pistol. Automatic gun detection is a vital requirement now-a-days. The use of real-time object detection system for the improvement of surveillance is a promising application of Convolutional Neural Networks (CNN). We are concerned about the real-time detection of weapons for the surveillance cameras, so we focused on the implementation and comparison of faster approaches such as Region (R-CNN) and Region Fully Convolutional Networks (R-FCN) with feature extractor Visual Geometry Group (VGG) and ResNet respectively. Training and testing are done on database that consists of local environment images. These images are taken with different type and high-resolution cameras that minimize the idealism. Some metrics also defined to reduce the false positives which are specific to the solution of problem. This research also contributes to the constitution of a hybrid CNN model of both faster-based R-CNN and R-FCN. Both hybrid and existing models experimented to reduce false positive in weapon detection. Result represented in graph with calculation during and after training with confusion matrix and hybrid model results better than other models.",COMP; MATH,
Scopus,International Journal of Electrical and Computer Engineering Systems,Srihari P.; Harikiran J.,Spatio-Temporal Information for Action Recognition in Thermal Video Using Deep Learning Model,2022,doi.org/10.32985/ijeces.13.8.7,"Researchers can evaluate numerous information to ensure automated monitoring due to the widespread use of surveillance cameras in smart cities. For the monitoring of violence or abnormal behaviors in smart cities, schools, hospitals, residences, and other observationaldomains, an enhancedsafety andsecurity system is requiredto prevent any injuries thatmightresultin ecological, economic and social losses. Automatic detection for prompt actions is vital and may help the respective departments effectively. Based on thermal imaging, several researchers have concentrated on object detection, tracking, and action identification. Few studies have simultaneously extracted spatial-temporal information from a thermal image and utilized it to recognize human actions. This research provides a novelty based on frame-level and spatial and temporal features which combines richer context temporal information to address the issue of poor efficiency and less accuracy in detecting abnormal/violent behavior in thermal monitoring devices. The model can locate (bounded box) video frame areas involving different human activities andrecognize (classify)the actions. The dataset on human behavior includes videos capturedwithinfraredcamerasin bothindoor andoutdoor environments. The experimentalresults using the publicly available benchmark datasets reveal the proposed model's efficiency. Our model achieves 98.5% and 94.85% accuracy on IITR Infrared Action Recognition (IITR-IAR) and Thermal Simulated Fall (TSF) datasets, respectively. In addition, the proposed method may be evaluated in more realistic conditions, such as zooming in and out etc.",COMP; ENGI,
Scopus,Procedia Computer Science,Patwal A.; Diwakar M.; Tripathi V.; Singh P.,An investigation of videos for abnormal behavior detection,2022,doi.org/10.1016/j.procs.2023.01.202,"The identification of abnormal behavior has several applications. There are several ways, ranging from classical to deep learning based. It may be used to monitor campuses, banks, transportation, and airports. In many circumstances, the context determines whether real-life events are common or unusual. Recent video surveillance anomaly detection systems are good enough, but they come at a significant computational cost and require particular hardware resources. When it comes to real-time anomaly detection, extra emphasis must be paid on lowering model complexity, which causes computational and memory demands. This study attempts to find real-world abnormalities in CCTV recordings, such as violence, detention, property destruction, assault, burglary, blast and theft. The impact of these abnormalities on public safety is enormous. The study also provides a low-cost algorithm for detecting crowd irregularities. The proposed model uses the convolutional neural network based on DenseNet121 as the feature extractor. Our suggested framework has an AUC of 86.63 percent on the UCF-Crime dataset and obtains new stateof-the-art performance.",COMP,
Web of Science,RESULTS IN ENGINEERING,"Qasim, Maryam; Verdu, Elena",Video anomaly detection system using deep convolutional and recurrent models,2023,doi.org/10.1016/j.rineng.2023.101026,"Automatic identification of anomalies in video surveillance is an interesting research field. Even though inter-active multimedia anomaly detection algorithms have been developed, it is still hard for video surveillance to find unusual things like illegal activities and crimes. In this study, a deep convolutional neural network (CNN) and a simple recurrent unit (SRU) are used to build an automated system that can find anomalies in videos.",,
Web of Science,SCIENTIFIC REPORTS,"Qi, Baolong; Wu, Baoyuan; Sun, Bailing",Automated violence monitoring system for real-time fistfight detection using deep learning-based temporal action localization,2025,doi.org/10.1038/s41598-025-12531-4,"Fistfight detection in video data is a critical task in video surveillance systems, where identifying physical altercations in real-time can enhance safety and security in public spaces.",,
Web of Science,ALEXANDRIA ENGINEERING JOURNAL,"Ali, Shehzad; Islam, Tanvir; Lee, Ik Hyun; Hijji, Mohammad; Muhammad, Khan",CABAD: A video dataset for benchmarking child aggression recognition,2025,doi.org/10.1016/j.aej.2025.06.035,Recognizing aggressive behaviors in children is critical for early intervention and support in managing emotional and behavioral challenges.,,
Web of Science,FRONTIERS IN COMPUTER SCIENCE,"Ha, Ngo Duong Tran, Nhu Y. Thuy, Le Nhi Lam Shimizu, Ikuko Bao, Pham The",Violence region localization in video and the school violent actions classification,2023,doi.org/10.3389/fcomp.2023.1274928,Classification of school violence has been proven to be an effective solution for preventing violence within educational institutions.,,
Web of Science,ANNALES MATHEMATICAE ET INFORMATICAE,"Almurumudhe, M.I.",Motion enhanced video anomaly detection using masked autoencoder and hybrid loss functions,2025,doi.org/10.33039/ami.2025.10.015,,,
Web of Science,,,,,doi.org/10.32604/cmc.2022.024566,,,
