Database,Article source,Authors,Title,Year,DOI,Short description(abstract if possible),Keywords,APA
Scopus (new export),Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Yu Y.; Jin B.; Song J.; Li B.; Zheng Y.; Zhuo W.,Improving Micro-video Recommendation by Controlling Position Bias,2023,doi.org/10.1007/978-3-031-26387-3_31,"As the micro-video apps become popular, the numbers of micro-videos and users increase rapidly, which highlights the importance of micro-video recommendation. Although the micro-video recommendation can be naturally treated as the sequential recommendation, the previous sequential recommendation models do not fully consider the characteristics of micro-video apps, and in their inductive biases, the role of positions is not in accord with the reality in the micro-video scenario. Therefore, in the paper, we present a model named PDMRec (Position Decoupled Micro-video Recommendation). PDMRec applies separate self-attention modules to model micro-video information and the positional information and then aggregate them together, avoid the noisy correlations between micro-video semantics and positional information being encoded into the sequence embeddings. Moreover, PDMRec proposes contrastive learning strategies which closely match with the characteristics of the micro-video scenario, thus reducing the interference from micro-video positions in sequences. We conduct the extensive experiments on two real-world datasets. The experimental results shows that PDMRec outperforms existing multiple state-of-the-art models and achieves significant performance improvements. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Contrastive learning; Micro-video recommendation; Recommender systems,"Yu, Y., Jin, B., Song, J., Li, B., Zheng, Y., & Zhuo, W. (2023). Improving Micro-video Recommendation by Controlling Position Bias. <i>Lecture Notes in Computer Science</i>. Springer International Publishing. http://doi.org/10.1007/978-3-031-26387-3_31"
Scopus (new export),ACM Transactions on Information Systems,Luo S.; He B.; Zhao H.; Shao W.; Qi Y.; Huang Y.; Zhou A.; Yao Y.; Li Z.; Xiao Y.; Zhan M.; Song L.,RecRanker: Instruction Tuning Large Language Model as Ranker for Top-k Recommendation,2025,doi.org/10.1145/3705728,"Large language models (LLMs) have demonstrated remarkable capabilities and have been extensively deployed across various domains, including recommender systems. Prior research has employed specialized prompts to leverage the in-context learning capabilities of LLMs for recommendation purposes. More recent studies have utilized instruction tuning techniques to align LLMs with human preferences, promising more effective recommendations. However, existing methods suffer from several limitations. The full potential of LLMs is not fully elicited due to low-quality tuning data and the overlooked integration of conventional recommender signals. Furthermore, LLMs may generate inconsistent responses for different ranking tasks in the recommendation, potentially leading to unreliable results. In this article, we introduce Ranker for top-k Recommendations (RecRanker), tailored for instruction tuning LLMs to serve as the Ranker for top-k Recommendations. Specifically, we introduce importance-aware sampling, clustering-based sampling, and penalty for repetitive sampling for sampling high-quality, representative, and diverse training data. To enhance the prompt, we introduce a position shifting strategy to mitigate position bias and augment the prompt with auxiliary information from conventional recommendation models, thereby enriching the contextual understanding of the LLM. Subsequently, we utilize the sampled data to assemble an instruction-tuning dataset with the augmented prompts comprising three distinct ranking tasks: pointwise, pairwise, and listwise rankings. We further propose a hybrid ranking method to enhance the model performance by ensembling these ranking tasks. Our empirical evaluations demonstrate the effectiveness of our proposed RecRanker in both direct and sequential recommendation scenarios.1 © 2025 Copyright held by the owner/author(s).",Instruction Tuning; Large Language Model; Ranking; Recommender System,"Luo, S., He, B., Zhao, H., Shao, W., Qi, Y., Huang, Y., … Song, L. (2025, July 10). RecRanker: Instruction Tuning Large Language Model as Ranker for Top-k Recommendation. <i>ACM Transactions on Information Systems</i>. Association for Computing Machinery (ACM). http://doi.org/10.1145/3705728"
Scopus (new export),"UMAP 2021 - Adjunct Publication of the 29th ACM Conference on User Modeling, Adaptation and Personalization",Felicioni N.; Ferrari Dacrema M.; Cremonesi P.,A Methodology for the Offline Evaluation of Recommender Systems in a User Interface with Multiple Carousels,2021,doi.org/10.1145/3450614.3461680,"Many video-on-demand and music streaming services provide the user with a page consisting of several recommendation lists, i.e., widgets or swipeable carousels, each built with a specific criterion (e.g., most recent, TV series, etc.). Finding efficient strategies to select which carousels to display is an active research topic of great industrial interest. In this setting, the overall quality of the recommendations of a new algorithm cannot be assessed by measuring solely its individual recommendation quality. Rather, it should be evaluated in a context where other recommendation lists are already available, to account for how they complement each other. This is not considered by traditional offline evaluation protocols. Hence, we propose an offline evaluation protocol for a carousel setting in which the recommendation quality of a model is measured by how much it improves upon that of an already available set of carousels. We report experiments on publicly available datasets on the movie domain and notice that under a carousel setting the ranking of the algorithms change. In particular, when a SLIM carousel is available, matrix factorization models tend to be preferred, while item-based models are penalized. We also propose to extend ranking metrics to the two-dimensional carousel layout in order to account for a known position bias, i.e., users will not explore the lists sequentially, but rather concentrate on the top-left corner of the screen.  © 2021 Owner/Author.",Evaluation; Recommender Systems; User Interface,"Felicioni, N., Ferrari Dacrema, M., & Cremonesi, P. (2021, June 21). A Methodology for the Offline Evaluation of Recommender Systems in a User Interface with Multiple Carousels. <i>Adjunct Proceedings of the 29th ACM Conference on User Modeling, Adaptation and Personalization</i>. ACM. http://doi.org/10.1145/3450614.3461680"
Scopus (new export),"International Conference on Information and Knowledge Management, Proceedings",Yang T.; Fang S.; Li S.; Wang Y.; Ai Q.,Analysis of Multivariate Scoring Functions for Automatic Unbiased Learning to Rank,2020,doi.org/10.1145/3340531.3412128,"Leveraging biased click data for optimizing learning to rank systems has been a popular approach in information retrieval. Because click data is often noisy and biased, a variety of methods have been proposed to construct unbiased learning to rank (ULTR) algorithms for the learning of unbiased ranking models. Among them, automatic unbiased learning to rank (AutoULTR) algorithms that jointly learn user bias models (i.e., propensity models) with unbiased rankers have received a lot of attention due to their superior performance and low deployment cost in practice. Despite their differences in theories and algorithm design, existing studies on ULTR usually use uni-variate ranking functions to score each document or result independently. On the other hand, recent advances in context-aware learning-to-rank models have shown that multivariate scoring functions, which read multiple documents together and predict their ranking scores jointly, are more powerful than uni-variate ranking functions in ranking tasks with human-annotated relevance labels. Whether such superior performance would hold in ULTR with noisy data, however, is mostly unknown. In this paper, we investigate existing multivariate scoring functions and AutoULTR algorithms in theory and prove that permutation invariance is a crucial factor that determines whether a context-aware learning-to-rank model could be applied to existing AutoULTR framework. Our experiments with synthetic clicks on two large-scale benchmark datasets show that AutoULTR models with permutation-invariant multivariate scoring functions significantly outperform those with uni-variate scoring functions and permutation-variant multivariate scoring functions. © 2020 ACM.",multivariate scoring function; unbiased learning to rank,"Yang, T., Fang, S., Li, S., Wang, Y., & Ai, Q. (2020, October 19). Analysis of Multivariate Scoring Functions for Automatic Unbiased Learning to Rank. <i>Proceedings of the 29th ACM International Conference on Information & Knowledge Management</i>. ACM. http://doi.org/10.1145/3340531.3412128"
Scopus (new export),"The Web Conference 2020 - Proceedings of the World Wide Web Conference, WWW 2020",Ovaisi Z.; Ahsan R.; Zhang Y.; Vasilaky K.; Zheleva E.,Correcting for Selection Bias in Learning-to-rank Systems,2020,doi.org/10.1145/3366423.3380255,"Click data collected by modern recommendation systems are an important source of observational data that can be utilized to train learning-to-rank (LTR) systems. However, these data suffer from a number of biases that can result in poor performance for LTR systems. Recent methods for bias correction in such systems mostly focus on position bias, the fact that higher ranked results (e.g., top search engine results) are more likely to be clicked even if they are not the most relevant results given a user's query. Less attention has been paid to correcting for selection bias, which occurs because clicked documents are reflective of what documents have been shown to the user in the first place. Here, we propose new counterfactual approaches which adapt Heckman's two-stage method and accounts for selection and position bias in LTR systems. Our empirical evaluation shows that our proposed methods are much more robust to noise and have better accuracy compared to existing unbiased LTR algorithms, especially when there is moderate to no position bias. © 2020 ACM.",learning-to-rank; position bias; recommender systems; selection bias,"Ovaisi, Z., Ahsan, R., Zhang, Y., Vasilaky, K., & Zheleva, E. (2020, April 20). Correcting for Selection Bias in Learning-to-rank Systems. <i>Proceedings of The Web Conference 2020</i>. ACM. http://doi.org/10.1145/3366423.3380255"
Scopus (new export),Lecture Notes in Computer Science,,"17th International Conference on Social Networks Analysis and Mining, ASONAM 2025",2026,,The proceedings contain 33 papers. The special focus in this conference is on Social Networks Analysis and Mining. The topics include: Enhancing Large Language Models for Arabic Dialects Using Knowledge-Based Rethinking and Contrastive Learning; analysis of User Temperament and Personality Traits in Social Media Through Complex Networks; a Scalable Approach to Marketing Funnel Modeling: Cross-Industry Insights from LinkedIn; trendScope: A Temporal Hypergraph Framework for Food Trend Discovery; Discovering Root Causes of Risks Using Counterfactual Knowledge Graphs (CKG); enumeration of Subgraph of Interest Based on Pruning; TrackGAE: Tracking Dynamic Community Evolution with Graph Autoencoders; social Engineering and Information System Security-A Survey on the Necessity of Prevention; data-Driven Social Signal Mining for Stock Return Modeling via LinkedIn Networks; LLM-MAD: Multi-agent LLM Reasoning for Multi-modal Shilling Attack Detection in Online Platforms; Prompt-Augmented LLMs with RAG for Addressing Cold-Start and Sparsity in Online Recommender Systems; TempHypE: Time-Aware Hyperbolic Neural Ordinary Differential Equation (ODEs) Knowledge Graph Embeddings For Dynamic Link Prediction; Empowering Recommender Systems with Agentic AI: Towards Adaptive Online Personalization; Benchmarking GNN and Graph Transformer Models for Dynamic Link Prediction; session-Based Recommender Systems Enhanced with Anomaly Detection: A Comparative Study; Position Bias in LLMs for Critical Decision Support: A Case Study on Multiple Casualty Triage; automated Definition Generation for Online Jargon Analysis; outsmarting Willful-Thinking Opponents: Bayesian Belief Revision for Adversarial Reasoning in Large Language Models; preface; GraphRAG-V: Fast Multi-hop Retrieval via Text-Chunk Communities; PATHS: Agent-Based Modeling of Homelessness Pathways; public Sentiment Analysis Toward the Department of Education: A Social Media Study Using Topic Modeling and Sentiment Analysis; detection of Suicidal Risk on Social Media: A Hybrid Model; fediverse Sharing: Cross-Platform Interaction Dynamics Between Threads and Mastodon Users; fact-Checking with Large Language Models via Cost-Effective First-Order Logic Reformulation.,,(n.d.). Scopus - Document Details. Retrieved from https://www.scopus.com/pages/publications/105029924249?origin=resultslist
Scopus (new export),"The Web Conference 2021 - Proceedings of the World Wide Web Conference, WWW 2021",Zhuang H.; Qin Z.; Wang X.; Bendersky M.; Qian X.; Hu P.; Chen D.C.,Cross-positional attention for debiasing clicks,2021,doi.org/10.1145/3442381.3450098,"A well-known challenge in leveraging implicit user feedback like clicks to improve real-world search services and recommender systems is its inherent bias. Most existing click models are based on the examination hypothesis in user behaviors and differ in how to model such an examination bias. However, they are constrained by assuming a simple position-based bias or enforcing a sequential order in user examination behaviors. These assumptions are insufficient to capture complex real-world user behaviors and hardly generalize to modern user interfaces (UI) in web applications (e.g., results shown in a grid view). In this work, we propose a fully data-driven neural model for the examination bias, Cross-Positional Attention (XPA), which is more flexible in fitting complex user behaviors. Our model leverages the attention mechanism to effectively capture cross-positional interactions among displayed items and is applicable to arbitrary UIs. We employ XPA in a novel neural click model that can both predict clicks and estimate relevance. Our experiments on offline synthetic data sets show that XPA is robust among different click generation processes. We further apply XPA to a large-scale real-world recommender system, showing significantly better results than baselines in online A/B experiments that involve millions of users. This validates the necessity to model more complex user behaviors than those proposed in the literature.  Â© 2021 ACM.",Click models; Cross-positional attention; Examination bias,"Zhuang, H., Qin, Z., Wang, X., Bendersky, M., Qian, X., Hu, P., & Chen, D. C. (2021, April 19). Cross-Positional Attention for Debiasing Clicks. <i>Proceedings of the Web Conference 2021</i>. ACM. http://doi.org/10.1145/3442381.3450098"
Scopus (new export),"2024 6th World Symposium on Artificial Intelligence, WSAI 2024",Mahendru S.; Pandit T.,Venn Diagram Prompting: Accelerating Comprehension with Scaffolding Effect,2024,doi.org/10.1109/WSAI62426.2024.10828919,"We introduce Venn Diagram (VD) Prompting, an innovative prompting technique which allows Large Language Models (LLMs) to combine and synthesize information across complex, diverse and long-context documents in knowledge-intensive question-answering tasks. Generating answers from multiple documents involves numerous steps to extract relevant and unique information and amalgamate it into a cohesive response. To improve the quality of the final answer, multiple LLM calls or pretrained models are used to perform different tasks such as summarization, reorganization and customization. The approach covered in the paper focuses on replacing the multi-step strategy via a single LLM call using VD prompting. Our proposed technique also aims to eliminate the inherent position bias in the LLMs, enhancing consistency in answers by removing sensitivity to the sequence of input information. It overcomes the challenge of inconsistency traditionally associated with varying input sequences. We also explore the practical applications of the VD prompt based on our examination of the prompt's outcomes. In the experiments performed on four public benchmark question-answering datasets, VD prompting continually matches or surpasses the performance of a meticulously crafted instruction prompt which adheres to optimal guidelines and practices. © 2024 IEEE.",Large language model; prompt engineering; retrieval-augmented generation,"Mahendru, S., & Pandit, T. (2024, June 7). Venn Diagram Prompting: Accelerating Comprehension with Scaffolding Effect. <i>2024 6th World Symposium on Artificial Intelligence (WSAI)</i>. IEEE. http://doi.org/10.1109/wsai62426.2024.10828919"
Scopus (new export),Lecture Notes in Computer Science,Azimi M.,Context-Aware Ranking in Expert Finding,2026,doi.org/10.1007/978-3-032-21324-2_41,"The search for knowledgeable people is essential in academic settings, supporting the identification of suitable supervisors, reviewers, and collaborators. However, existing systems primarily focus on topical relevance while overlooking contextual factors such as supervision capacity, collaboration intent, and recency of activity. This research aims to design context-aware ranking models that incorporate behavioral and relational factors to improve expert identification across academic tasks. To measure progress, we conducted a systematic comparison of expert-finding algorithms on benchmark datasets, revealing that no single method consistently outperforms others and that effectiveness varies across query types and text elements. To address the limitations of existing benchmarks, we introduce the Find an Expert (FaE) dataset from the University of Melbourne, which integrates rich academic profiles, authentic interaction logs, and system-generated search results. Preliminary analysis shows strong position bias and multi-candidate exploration patterns that distinguish expert search from general web search. Building on these insights, the next stage of this research focuses on developing context-aware models that leverage behavioral features to enhance ranking effectiveness across diverse expert-seeking scenarios. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",,"Azimi, M. (2026). Context-Aware Ranking in Expert Finding. <i>Lecture Notes in Computer Science</i>. Springer Nature Switzerland. http://doi.org/10.1007/978-3-032-21324-2_41"
Scopus (new export),ACM International Conference Proceeding Series,Cachel K.; Rundensteiner E.,Fairer Together: Mitigating Disparate Exposure in Kemeny Rank Aggregation,2023,doi.org/10.1145/3593013.3594085,"In social choice, traditional Kemeny rank aggregation combines the preferences of voters, expressed as rankings, into a single consensus ranking without consideration for how this ranking may unfairly affect marginalized groups (i.e., racial or gender). Developing fair rank aggregation methods is critical due to their societal influence in applications prioritizing job applicants, funding proposals, and scheduling medical patients. In this work, we introduce the Fair Exposure Kemeny Aggregation Problem (FairExp-kap) for combining vast and diverse voter preferences into a single ranking that is not only a suitable consensus, but ensures opportunities are not withheld from marginalized groups. In formalizing FairExp-kap, we extend the fairness of exposure notion from information retrieval to the rank aggregation context and present a complimentary metric for voter preference representation. We design algorithms for solving FairExp-kap that explicitly account for position bias, a common ranking-based concern that end-users pay more attention to higher ranked candidates. epik solves FairExp-kap exactly by incorporating non-pairwise fairness of exposure into the pairwise Kemeny optimization; while the approximate epira is a candidate swapping algorithm, that guarantees ranked candidate fairness. Utilizing comprehensive synthetic simulations and six real-world datasets, we show the efficacy of our approach illustrating that we succeed in mitigating disparate group exposure unfairness in consensus rankings, while maximally representing voter preferences. © 2023 ACM.",fair exposure rank aggregation; group fairness; rank aggregation; voting rules,"Cachel, K., & Rundensteiner, E. (2023, June 12). Fairer Together: Mitigating Disparate Exposure in Kemeny Rank Aggregation. <i>2023 ACM Conference on Fairness Accountability and Transparency</i>. ACM. http://doi.org/10.1145/3593013.3594085"
Scopus (new export),Expert Systems with Applications,Zheng J.; Li J.; Huang M.,Personalized anchor debiased-contrastive learning for multi-behavior recommendation,2025,doi.org/10.1016/j.eswa.2025.127685,"In recommender systems, various user behaviors such as viewing, collecting, purchasing, etc. provide rich information that can be used to understand users’ preferences. Most multi-behavior recommender systems learn high-quality node representations for a primary target behavior, while incorporating auxiliary behavior representations as supervisory signals to enhance recommendation performance. However, we argue that the existing methods still face the following limitations: (1) The distribution of interaction data under multi-behaviors is inconsistent. Sparse target behavior signals are less effective in capturing personalized interest. (2) The multi-behavior patterns of users carry personalized biases. Existing self-supervised paradigms have rarely overcome debiasing effects to serve recommendation outcomes. Learning personalized debiased interest poses a significant challenge for multi-behavior recommendation. This paper introduces a novel framework, termed personalized anchor debiased-contrastive learning for multi-behavior recommendation (ADCL-MBRec). Specifically, it leverages a self-attention mechanism to capture personalized multi-behavior patterns for each user. The adaptive neighbor prototype of the anchored object is assigned to refine and enhance user and item representations. A loss optimization strategy with multi-behavior pattern is explored to eliminate personalized multi-behavior bias. Results from experiments across multiple datasets demonstrate that the introduced ADCL-MBRec model significantly enhances the recommendation performance and surpasses advanced baseline models. © 2025 Elsevier Ltd",Contrastive learning; Graph neural network; Multi-behavior pattern; Neighbor prototype,"Zheng, J., Li, J., & Huang, M. (2025, August). Personalized anchor debiased-contrastive learning for multi-behavior recommendation. <i>Expert Systems with Applications</i>. Elsevier BV. http://doi.org/10.1016/j.eswa.2025.127685"
Scopus (new export),"International Conference on Information and Knowledge Management, Proceedings",Taniskidou E.K.; Zhao W.; Murray I.; Pellegrini R.,Nudging Neural Click Prediction Models to Pay Attention to Position,2023,doi.org/10.1145/3583780.3614994,"Predicting the click-through rate (CTR) of an item is a fundamental task in online advertising and recommender systems. CTR prediction models are typically trained on user click data from traffic logs. However, users are more likely to interact with items that were shown prominently on a website. CTR models often overestimate the value of such items and show them more often, at the expense of items of higher quality that were previously shown at less prominent positions. This self-reinforcing position bias effect reduces both the immediate and long-term quality of recommendations for users. In this paper, we revisit position bias in a family of state-of-the-art neural models for CTR prediction, and use synthetic data to demonstrate the difficulty of controlling for position. We propose an approach that encourages neural networks to use position (or other confounding variables) as much as possible to explain the training data, and a metric that can directly measure bias. Experiments on two real-world datasets demonstrate the effectiveness of our approach in correcting for position-like features in 2 state-of-the-art CTR prediction models. © 2023 Copyright held by the owner/author(s). ACM ISBN 979-8-4007-0124-5/23/10.",Click Models; Neural Ranking Models; Position Bias,"Karra Taniskidou, E., Zhao, W., Murray, I., & Pellegrini, R. (2023, October 21). Nudging Neural Click Prediction Models to Pay Attention to Position. <i>Proceedings of the 32nd ACM International Conference on Information and Knowledge Management</i>. ACM. http://doi.org/10.1145/3583780.3614994"
Scopus (new export),Proceedings of the International Joint Conference on Neural Networks,Wu Y.; Zhao W.,Debiased Causal Inference for Sequential Recommendation,2024,doi.org/10.1109/IJCNN60899.2024.10650048,"Learning dynamic user preferences from sequential user behavior data is a hot topic in recommender system research. Common sequence learning methods include Recurrent Neural Networks (RNNs), Transformer, and Graph Neural Networks (GNNs). However, in real-world environments, user behavior data recorded on online platforms often suffer from various biases, such as selection bias, position bias, exposure bias, and popularity bias, which affect the representation ability of sequence learning. Although contrastive learning (CL) methods are commonly used to address noise and sparsity issues, we argue that CL-based methods have limitations in addressing biases and identifying users' real interests. In this paper, we propose a new Debiased Causal Inference for Sequential Recommendation (DCISRec), which models the counterfactual data distribution to learn accurate and robust user representations, uncover indispensable behaviors in the sequence, and reduce the impact of noisy behaviors. Simultaneously integrating sequence denoising encoding methods to enhance the learning ability of sequence relationships. Extensive experiments on three real-world datasets have demonstrated that our proposed method significantly outperforms state-of-the-art baselines, indicating its efficacy for recommendation. © 2024 IEEE.",Causal Inference; Contrastive Learning; Sequential Recommendation,"Wu, Y., & Zhao, W. (2024, June 30). Debiased Causal Inference for Sequential Recommendation. <i>2024 International Joint Conference on Neural Networks (IJCNN)</i>. IEEE. http://doi.org/10.1109/ijcnn60899.2024.10650048"
Scopus (new export),SIGIR 2020 - Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval,Jin J.; Fang Y.; Zhang W.; Ren K.; Zhou G.; Xu J.; Yu Y.; Wang J.; Zhu X.; Gai K.,A Deep Recurrent Survival Model for Unbiased Ranking,2020,doi.org/10.1145/3397271.3401073,"Position bias is a critical problem in information retrieval when dealing with implicit yet biased user feedback data. Unbiased ranking methods typically rely on causality models and debias the user feedback through inverse propensity weighting. While practical, these methods still suffer from two major problems. First, when infer a user click, the impact of the contextual information, such as documents that have been examined, is often ignored. Second, only the position bias is considered but other issues resulted from user browsing behaviors are overlooked. In this paper, we propose an end-to-end Deep Recurrent Survival Ranking (DRSR), a unified framework to jointly model user's various behaviors, to (i) consider the rich contextual information in the ranking list; and (ii) address the hidden issues underlying user behaviors, i.e., to mine observe pattern in queries without any click (non-click queries), and to model tracking logs which cannot truly reflect the user browsing intents (untrusted observation). Specifically, we adopt a recurrent neural network to model the contextual information and estimates the conditional likelihood of user feedback at each position. We then incorporate survival analysis techniques with the probability chain rule to mathematically recover the unbiased joint probability of one user's various behaviors. DRSR can be easily incorporated with both point-wise and pair-wise learning objectives. The extensive experiments over two large-scale industrial datasets demonstrate the significant performance gains of our model comparing with the state-of-the-arts. © 2020 ACM.",cascade model; position bias; unbiased learning-to-rank,"Jin, J., Fang, Y., Zhang, W., Ren, K., Zhou, G., Xu, J., … Gai, K. (2020, July 25). A Deep Recurrent Survival Model for Unbiased Ranking. <i>Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval</i>. ACM. http://doi.org/10.1145/3397271.3401073"
Scopus (new export),Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Qin Z.; Chen S.J.; Metzler D.; Noh Y.; Qin J.; Wang X.,Attribute-based Propensity for Unbiased Learning in Recommender Systems: Algorithm and Case Studies,2020,doi.org/10.1145/3394486.3403285,"Many modern recommender systems train their models based on a large amount of implicit user feedback data. Due to the inherent bias in this data (e.g., position bias), learning from it directly can lead to suboptimal models. Recently, unbiased learning was proposed to address such problems by leveraging counterfactual techniques like inverse propensity weighting (IPW). In these methods, propensity scores estimation is usually limited to item's display position in a single user interface (UI). In this paper, we generalize the traditional position bias model to an attribute-based propensity framework. Our methods estimate propensity scores based on offline data and allow propensity estimation across a broad range of implicit feedback scenarios, e.g., feedback beyond recommender system UI. We demonstrate this by applying this framework to three real-world large-scale recommender systems in Google Drive that serve millions of users. For each system, we conduct both offline and online evaluation. Our results show that the proposed framework is able to significantly improve upon strong production baselines across a diverse range of recommendation item types (documents, people-document pairs, and queries), UI layouts (horizontal, vertical, and grid layouts), and underlying learning algorithms (gradient boosted decision trees and neural networks), all without the need to intervene and degrade the user experience. The proposed models have been deployed in the production systems with ease since no serving infrastructure change is needed. © 2020 Owner/Author.",implicit feedback; recommender system; unbiased learning,"Qin, Z., Chen, S. J., Metzler, D., Noh, Y., Qin, J., & Wang, X. (2020, August 20). Attribute-based Propensity for Unbiased Learning in Recommender Systems. <i>Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining</i>. ACM. http://doi.org/10.1145/3394486.3403285"
Scopus (new export),CEUR Workshop Proceedings,Schedl M.; Lesota O.; Masoudian S.,"The Importance of Cognitive Biases in the Recommendation Ecosystem: Evidence of Feature-Positive Effect, Ikea Effect, and Cultural Homophily",2024,,"Cognitive biases have been studied in psychology, sociology, and behavioral economics for decades. Traditionally, they have been considered a negative human trait that leads to inferior decision making, reinforcement of stereotypes, or can be exploited to manipulate consumers, respectively. Lately, there has been growing interest in AI research to better understand the influence of such biases in classification, search, and also recommendation tasks. We argue that cognitive biases manifest in different parts of the recommendation ecosystem and in various components of the recommendation pipeline, including input data (such as ratings or side information), recommendation algorithm or model (and consequently recommended items), and user interactions with the system. More importantly, we contest the traditional detrimental perspective on cognitive biases and claim that certain cognitive biases can be beneficial when accounted for by recommender systems. Concretely, we provide empirical evidence that feature-positive effect, Ikea effect, and cultural homophily can be observed in the context of recommender systems, and discuss their potential for exploitation. In three small experiments covering recruitment and entertainment domains, we study the pervasiveness of the aforementioned biases. We ultimately advocate for a prejudice-free consideration of cognitive biases to improve user and item models as well as recommendation algorithms. © 2024 Copyright for this paper by its authors.",Cognition; Cultural Homophily; Declinism; Empirical Studies; Feature-Positive Effect; Halo Effect; Ikea Effect; Position Bias; Primacy Effect; Psychology; Recency Effect; Simulation Study,(n.d.). Scopus - Document Details. Retrieved from https://www.scopus.com/pages/publications/85210029070?origin=resultslist
Scopus (new export),IEEE Access,Amala K.J.; Rajeswari D.,Nonparametric Click Modeling Using Dirichlet Process Mixture Model for Information Retrieval,2025,doi.org/10.1109/ACCESS.2025.3639062,"Click models are essential for comprehending user search behavior and enhancing ranking algorithms; nevertheless, current methodologies face challenges due to the variability of user interaction patterns across different query settings. Current techniques depend on static mixture components that might not accurately represent the diverse behavior of users across various contexts and demographics. This study presents a Dirichlet Process Mixture Model for click modeling that autonomously adjusts model complexity to accommodate diverse user behavior patterns without necessitating predetermined assumptions on the quantity of user behavior clusters. This approach develops an efficient inference algorithm that alternates between Bayesian cluster assignment and neural network training, enabling scalable learning for large-scale click prediction applications. The theoretical foundation builds upon established Dirichlet Process theory while extending it to neural click modeling, providing convergence guarantees for the proposed inference system. A comprehensive comparative evaluation of click modeling approaches is conducted, comparing the proposed method to five established baseline techniques across nine distinct click model configurations. The experimental results indicate that the Dirichlet Process Mixture Model consistently excels existing baselines across various evaluation metrics and demonstrates a particular aptitude for rating quality metrics when contrasted with the baseline averages. Experimental validation on real-world data shows that Dirichlet Process Mixture Model achieves substantial improvements over existing methods, with a 75.5% relative improvement in Mean Average Precision (0.6138 vs. 0.3496) and 48.7% improvement in Precision@1 (0.6539 vs. 0.4490). © 2013 IEEE.",Click model; click-through rate; Dirichlet process mixture model; ranking; two-tower model; unbiased learning to rank,"Amala, K. J., & Rajeswari, D. (2025). Nonparametric Click Modeling Using Dirichlet Process Mixture Model for Information Retrieval. <i>IEEE Access</i>. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2025.3639062"
Scopus (new export),RecSys 2020 - 14th ACM Conference on Recommender Systems,He X.; An B.; Li Y.; Chen H.; Guo Q.; Li X.; Wang Z.,Contextual User Browsing Bandits for Large-Scale Online Mobile Recommendation,2020,doi.org/10.1145/3383313.3412234,"Online recommendation services recommend multiple commodities to users. Nowadays, a considerable proportion of users visit e-commerce platforms by mobile devices. Due to the limited screen size of mobile devices, positions of items have a significant influence on clicks: 1) Higher positions lead to more clicks for one commodity. 2) The 'pseudo-exposure' issue: Only a few recommended items are shown at first glance and users need to slide the screen to browse other items. Therefore, some recommended items ranked behind are not viewed by users and it is not proper to treat this kind of items as negative samples. While many works model the online recommendation as contextual bandit problems, they rarely take the influence of positions into consideration and thus the estimation of the reward function may be biased. In this paper, we aim at addressing these two issues to improve the performance of online mobile recommendation. Our contributions are four-fold. First, since we concern the reward of a set of recommended items, we model the online recommendation as a contextual combinatorial bandit problem and define the reward of a recommended set. Second, we propose a novel contextual combinatorial bandit method called UBM-LinUCB to address two issues related to positions by adopting the User Browsing Model (UBM), a click model for web search. Third, we provide a formal regret analysis and prove that our algorithm achieves sublinear regret independent of the number of items. Finally, we evaluate our algorithm on two real-world datasets by a novel unbiased estimator. An online experiment is also implemented in Taobao, one of the most popular e-commerce platforms in the world. Results on two CTR metrics show that our algorithm outperforms the other contextual bandit algorithms. © 2020 ACM.",Combinatorial bandit; Contextual bandit; Position bias,"HE, X., An, B., Li, Y., Chen, H., Guo, Q., Li, X., & Wang, Z. (2020, September 22). Contextual User Browsing Bandits for Large-Scale Online Mobile Recommendation. <i>Fourteenth ACM Conference on Recommender Systems</i>. ACM. http://doi.org/10.1145/3383313.3412234"
